seller_name,sustainable_material_count,eco_label_count,environmental_keyword_count,product_quality_complaint_count,product_damage_complaint_count,product_safety_complaint_count,customer_service_complaint_count,counterfeit_complaint_count,governance_keyword_count,E_score,S_score,G_score,ESG_reference_score,ESG_level,ESG_rank
Artisanates,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3432956353067862,1.0,0.875,0.6371395718396968,Moderate,23
COOFANDY Online,0.39999999999999997,0.0,1.0,1.0,0.92,1.0,1.0,1.0,0.26,0.3792699386548578,0.984,0.815,0.6331071617078383,Moderate,24
Angyun,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.33333333333333337,0.3432956353067862,1.0,0.8333333333333334,0.6241890017310643,Moderate,25
UNDERWEAR BASICS,0.3333333333333333,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.8,0.3432956353067862,0.7999999999999999,0.95,0.6212905279040222,Moderate,26
PAATM SHIVA,0.26135105204872644,0.0,1.0,0.8394241417497235,0.9778516057585827,1.0,1.0,1.0,0.6710963455149501,0.3044529489675062,0.9313399778516058,0.9177740863787376,0.617826250384363,Moderate,27
Zappos,0.11403508771929823,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9671052631578948,0.22495911113549785,1.0,0.9917763157894737,0.6150496682130043,Moderate,28
LION-go,0.3333333333333333,0.0,1.0,1.0,1.0,0.5,1.0,1.0,0.7,0.3432956353067862,0.7999999999999999,0.925,0.6135201858388426,Moderate,29
KDF BOUTIQUE,0.6666666666666666,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.5231671520471444,0.6,0.75,0.6087138034267199,Moderate,30
Amazon.com,0.2128741124162187,0.0238901055146326,1.0,0.964363925940673,0.9859048377463668,0.9860641051164645,0.9956201473223176,0.992036631495123,0.5667131196496118,0.28538852452804864,0.9773521799721283,0.8866016324905439,0.6077405110227856,Moderate,31
OYGSieg,0.3333333333333333,0.0,1.0,0.8333333333333335,1.0,1.0,1.0,1.0,0.2666666666666667,0.3432956353067862,0.9333333333333333,0.8166666666666667,0.6059554169772068,Moderate,32
Fullfamous,0.3333333333333333,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6,0.3432956353067862,0.7999999999999999,0.9,0.605749843773663,Moderate,33
sunflower1990,0.3333333333333333,0.0,1.0,0.5,1.0,1.0,1.0,1.0,0.6,0.3432956353067862,0.7999999999999999,0.9,0.605749843773663,Moderate,33
NORTHYARD,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Nmoder,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
SUNNY PIGGY,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
BETTE BOUTIK Fashion,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
DEEKEY-US,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
BMJLUSAFashion,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
CONKENDboxerbriefs,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
MICHEL ROUEN,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
MAGNIVIT,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
MAMABABY,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Lepunuo,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Light Speed Shipping,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
NEOREGAL,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Mine Fashion,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Olidarua-US,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
WUJISMART,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
usRaphin,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
honeylove 10-15 days Arrivals,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
weiweier,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
5Mayi Official,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Utopia Deals,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
Adibosy,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
ArtBlankets,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
VIPONES,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
SACUIMAN FASHION,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
P FENTENG-Shop,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
SOWTEE,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
TAIYITONG SHOP,0.3333333333333333,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.3432956353067862,1.0,0.75,0.598287861513799,Moderate,34
