seller_name,environmental_keyword_count,sustainable_material_count,eco_label_count,product_quality_complaint_count,product_damage_complaint_count,product_safety_complaint_count,customer_service_complaint_count,counterfeit_complaint_count,governance_keyword_count
MAGNIVIT,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MAMABABY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MEI tian,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MEROKEETY,0.0,0.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.7666666666666667
MICHEL ROUEN,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MIER SPORT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
MOERDENG OD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Memoriesea,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Miaozhe,0.0,1.0,0.0,0.0,0.0,0.1,0.0,0.0,1.0
Micoson,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Mine Fashion,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NEOREGAL,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NORTHYARD,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
NY Sleepwear,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Nankean,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Nmoder,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
ODOLY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
OFEEFAN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
OIIIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
OYGSieg,0.0,1.0,0.0,0.03333333333333333,0.0,0.0,0.0,0.0,0.7333333333333333
OYOANGLE ONLINE STORE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2647058823529412
Obtaom shoes,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25
Olidarua-US,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Orva Stores,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
OutdoorVentures,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
P FENTENG-Shop,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
PAATM SHIVA,0.0,0.7840531561461794,0.0,0.03211517165005537,0.01107419712070875,0.0,0.0,0.0,0.3289036544850498
PARISDIARY,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
PRETTYGARDEN,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.85
"PS Traders, LLC",0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1
PURE CHAMP,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pacers Running,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pair of Thieves ...,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15
Paul Jones Clothing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7
Per Zeal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Pgands Design,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
